uid,name,tile,geometry,priorState,recommendation,reasons,auditFlags,kind,structureType,heightMetres,heightSource,areaM2,inputHash
landsd/339030:0,,-3_-11,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,73.3468,59e1d128fd07eaec4e1a5c1617f51bd62a312dd7422cff54806e80af5392f49d
landsd/34018:0,,5_-6,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,yes,Tower,8.5,landsd,63.9304,94cc240f0cbb6e0ef52587f0c57089825ef0cb566338c72d999ff17e4c28c65b
landsd/106151:0,,-10_-7,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,48.218,b408d81c25c2733a5fc18c82196e690dfecbc2f3e737f2b671d7d58f8943156c
landsd/290009:0,,-1_-11,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,roof,Open-sided Structure,3.0,estimated,56.6752,ac50357618057cdd33510d5d7e5260dea7be054e6f822c3b6b1e6bc73b2c1a03
landsd/260018:0,,4_-3,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,113.8661,c4f7a7ae79cc9e8e927b835c98428f5969de47b7f8d6dd2f9dcebb614de87e54
landsd/39854:0,BAHANS AVENUE,-5_-11,footprint,unassessed,review,native-mesh-complexity-needs-review,,house,Tower,9.9,landsd,76.4444,04789cb8c238db86806b09480de4d1696202df9adb4977140ca4e64bdaa0c1ea
landsd/82926:0,Fontana Villa Block H-J,-8_-5,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,apartments,Tower,10.4,landsd,514.0494,3984703a115c7a4c27721ba180f306f1f243d08edda63bb8a02560684d4905df
landsd/293492:0,,-7_-8,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,roof,Open-sided Structure,3.0,estimated,87.1284,2700e6b8ecbeba0554119edbe22c6938904745d24d83b4549df2223a0bb2024b
landsd/228792:0,,-2_-13,footprint,unassessed,likely-skip,ordinary-surveyed-form-small-native-envelope-difference-low-complexity,,yes,Tower,4.5,landsd,32.1609,c68ad410bf92a15048c9ffd7ad0f4278e8acc17ba38f29959c39a7903eeeb63e
landsd/109388:0,,6_-1,footprint,unassessed,review,source-or-terrain-diagnostic;native-envelope-differs;native-mesh-complexity-needs-review,sampled-roof-partly-below-terrain;sampled-roof-wholly-below-terrain,house,Tower,6.2,landsd,59.3039,308567a9d4cb69f30f511375741f85224d888d66131a9f3f36c82337cd777e5d
landsd/146328:0,,-12_-5,footprint,unassessed,review,nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,5.6,landsd,662.0152,579e1c4d7a125ea5b1501c22fd38db1b389a507107bdf79a6cb42669d86358df
landsd/244329:0,Ming Wong Garden Block 37,-10_-7,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,house,Tower,8.2,landsd,64.4663,d7dd65044e0bd6f86a5bb9b8a6674ab4e3b3b6c99fe373a1221859a733e55bed
landsd/313009:0,,4_-8,footprint,unassessed,review,native-source-missing-or-ambiguous,,yes,Tower,13.2,landsd,9.8594,59fd9081f00534e4c6f4da420ca976de2cc4923b55c6bf41089ad7588bcf17db
landsd/250528:0,,-2_-13,footprint,unassessed,review,native-envelope-differs,,yes,Tower,4.0,landsd,9.317,b861f2843bef10b22a1a7d661962fda960f0b39d007a4b9d3b8c863929767619
landsd/105993:0,Lei Wong House,4_-1,footprint,unassessed,review,source-or-terrain-diagnostic;large-or-tall-form;native-envelope-differs;native-mesh-complexity-needs-review,sampled-base-above-terrain,yes,Tower,100.5,landsd,539.0339,cf8be33c4a8719861733817ea8ff0daaa2f71eba1fef14415281e4ab15cf8e93
