uid,objectId,buildingCSUID,name,nameZh,sectionId,sectionName,tile,centreX,centreZ,baseHeight,height,heightSource,governmentAvailable,sizeGroup,sizeLabel,triangles,modelId,sourceState,sourceHoldReason,compressedBytes,geometryBytes,installation,actionableState
landsd/205079:0,205079,1700814263T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17490.164655,2236.651331,9.8,2.4,landsd,True,xs,XS,41,B170081426301062G0,packed-needs-placement-review,,1106,2802,embedded,installed
landsd/205107:0,205107,1683814256T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17662.666719,2245.498718,12.7,5.2,landsd,True,xs,XS,69,B168381425601062G0,packed-needs-placement-review,,1327,4194,embedded,installed
landsd/205192:0,205192,1757214317T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16927.38799,2184.953329,4.1,4.6,landsd,True,xs,XS,78,B175721431701062G0,packed-needs-placement-review,,1559,5220,embedded,installed
landsd/205196:0,205196,1750914333T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16992.361618,2167.408397,4.7,3.6,landsd,True,xs,XS,40,B175091433301062G0,packed-needs-placement-review,,1055,2796,embedded,installed
landsd/205198:0,205198,1761514326T20050430,CCC Mui Wo Church,中華基督教會梅窩堂,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16884.779352,2172.985593,3.8,5.1,landsd,True,xs,XS,21,B176151432601062G0,packed-needs-placement-review,,924,1602,embedded,installed
landsd/205201:0,205201,1694114324T20111010,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17559.25949,2176.369429,12.2,2.7,landsd,True,xs,XS,26,B169411432401062G0,packed-needs-placement-review,,1003,1956,embedded,installed
landsd/205202:0,205202,1759114323T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16909.67727,2177.721547,4,3.3,landsd,True,xs,XS,54,B175911432301062G0,packed-needs-placement-review,,1384,4140,embedded,installed
landsd/205203:0,205203,1712014340T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17379.405272,2161.120207,9.8,6.1,landsd,True,xs,XS,10,B171201434001062G0,packed-needs-placement-review,,751,780,embedded,installed
landsd/205204:0,205204,1770714337T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16792.808452,2163.42537,3.6,5.2,landsd,True,xs,XS,24,B177071433701062G0,packed-needs-placement-review,,889,1656,embedded,installed
landsd/205205:0,205205,1712114326T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17377.662572,2174.499671,9.5,6.6,landsd,True,xs,XS,69,B171211432601062G0,packed-needs-placement-review,,1426,4698,embedded,installed
landsd/205206:0,205206,1761914334T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16880.38863,2165.763655,3.1,3.1,landsd,True,xs,XS,48,B176191433401062G0,packed-needs-placement-review,,1272,3456,embedded,installed
landsd/205300:0,205300,1761215005T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_0,-16888.331504,1494.671508,8.6,3.2,landsd,True,xs,XS,70,B176121500501062G0,packed-needs-placement-review,,1395,4308,progressive,installed
landsd/205301:0,205301,1834514967T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_0,-16155.453764,1533.017687,16.9,3.2,landsd,True,xs,XS,26,B183451496701062G0,packed-needs-placement-review,,900,1740,progressive,installed
landsd/205302:0,205302,1826914927T20050430,THE METHODIST CONFERENCE CENTRE,衛理園,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_0,-16231.182321,1573.069004,18.2,6.9,landsd,True,xs,XS,96,B182691492701062G0,packed-needs-placement-review,,1723,6984,progressive,installed
landsd/205304:0,205304,1714814866T20050430,YICK YUEN,奕園,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_0,-17351.757732,1633.239858,27.7,11.3,landsd,True,xs,XS,10,B171481486601063C0,packed-needs-placement-review,,725,780,embedded,installed
landsd/205305:0,205305,1840514865T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_0,-16096.911413,1634.185812,4.4,4.3,landsd,True,xs,XS,10,B184051486501062G0,packed-needs-placement-review,,730,780,progressive,installed
landsd/205310:0,205310,1775814866T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_0,-16742.419855,1634.46146,19.2,4.6,landsd,True,xs,XS,71,B177581486601062G0,packed-needs-placement-review,,1333,4134,embedded,installed
landsd/205311:0,205311,1843014862T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_0,-16072.226628,1638.460208,4.8,3.9,landsd,True,xs,XS,63,B184301486201062G0,packed-needs-placement-review,,1560,4734,progressive,installed
landsd/205312:0,205312,1830314938T20050430,YEE YUEN,宜園,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_0,-16197.285857,1562.862138,12.3,3.1,landsd,True,xs,XS,36,B183031493801062G0,packed-needs-placement-review,,1077,2448,progressive,installed
landsd/205462:0,205462,1704614317T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17454.212639,2182.29595,11.6,4.4,landsd,True,xs,XS,10,B170461431701062G0,packed-needs-placement-review,,740,780,embedded,installed
landsd/205470:0,205470,1692814332T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17572.273815,2167.468284,12.7,2.0,landsd,True,xs,XS,26,B169281433201062G0,packed-needs-placement-review,,994,1812,embedded,installed
landsd/205472:0,205472,1690314319T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17596.953863,2181.301486,12.7,3.3,landsd,True,xs,XS,24,B169031431901062G0,packed-needs-placement-review,,989,1800,embedded,installed
landsd/205701:0,205701,1778514333T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16715.088009,2166.400677,4.1,5.0,landsd,True,xs,XS,41,B177851433301062G0,packed-needs-placement-review,,1102,2730,embedded,installed
landsd/205713:0,205713,1739614331T20050430,KAN LING VILLA,近嶺小築,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17103.092887,2169.441412,9.8,5.3,landsd,True,xs,XS,56,B173961433101062G0,packed-needs-placement-review,,1344,4224,embedded,installed
landsd/205715:0,205715,1769614316T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16804.61657,2183.609519,3.8,7.8,landsd,True,xs,XS,63,B176961431601062G0,packed-needs-placement-review,,1300,3942,embedded,installed
landsd/205954:0,205954,1789213473T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16608.356938,3027.539537,100,4.4,landsd,True,xs,XS,10,B178921347301062G0,packed-needs-placement-review,,712,780,embedded,installed
landsd/205966:0,205966,1694614326T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17554.092592,2174.22702,12.1,2.4,landsd,True,xs,XS,26,B169461432601062G0,packed-needs-placement-review,,991,1884,embedded,installed
landsd/205968:0,205968,1781814326T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16682.837,2173.961,4.7,7.4,landsd,True,xs,XS,10,B178181432601062G0,packed-needs-placement-review,,719,780,embedded,installed
landsd/206063:0,206063,1768514312T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16814.496135,2187.586779,3.9,7.7,landsd,True,xs,XS,98,B176851431201062G0,packed-needs-placement-review,,1559,6564,embedded,installed
landsd/206066:0,206066,1769314932T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_0,-16805.740142,1567.462385,15.7,4.1,landsd,True,xs,XS,20,B176931493201062G0,packed-needs-placement-review,,877,1560,embedded,installed
landsd/206069:0,206069,1829414936T20050430,YEE YUEN,宜園,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_0,-16206.032074,1564.645317,13.1,1.8,landsd,True,xs,XS,35,B182941493601062G0,packed-needs-placement-review,,1054,2334,progressive,installed
landsd/206187:0,206187,1751014775T20170224,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_0,-16990.283397,1724.459368,22.1,7.6,landsd,True,xs,XS,80,B175101477501062G0,packed-needs-placement-review,,1516,5448,embedded,installed
landsd/206355:0,206355,1717614279T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17324.277723,2220.966097,8.3,6.1,landsd,True,xs,XS,84,B171761427901062G0,packed-needs-placement-review,,1715,6120,embedded,installed
landsd/206358:0,206358,1701714285T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17482.267181,2214.528809,11.1,2.7,landsd,True,xs,XS,40,B170171428501062G0,packed-needs-placement-review,,1161,2832,embedded,installed
landsd/206439:0,206439,1750814768T20170224,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_0,-16991.838747,1731.854497,22.1,7.6,landsd,True,xs,XS,80,B175081476801062G0,packed-needs-placement-review,,1489,5448,embedded,installed
landsd/206483:0,206483,1775413342T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16745.407054,3158.067647,59,3.9,landsd,True,xs,XS,30,B177541334201062G0,packed-needs-placement-review,,1050,2196,embedded,installed
landsd/206484:0,206484,1771913302T20051013,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16779.740674,3198.608778,63.9,14.2,landsd,True,xs,XS,98,B177191330201063C0,packed-needs-placement-review,,2232,7860,embedded,installed
landsd/206577:0,206577,1705914302T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17440.735957,2199.474179,11,3,landsd,True,xs,XS,10,B170591430201062G0,packed-needs-placement-review,,730,780,embedded,installed
landsd/206578:0,206578,1671314300T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17787.72515,2200.626534,20,2.7,landsd,True,xs,XS,82,B167131430001062G0,packed-needs-placement-review,,1607,5604,embedded,installed
landsd/206583:0,206583,1676214297T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17738.262739,2203.360361,16.1,2.5,landsd,True,xs,XS,14,B167621429701062G0,packed-needs-placement-review,,808,1020,embedded,installed
landsd/206584:0,206584,1783214297T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16667.674287,2201.736893,4.5,3.1,landsd,True,xs,XS,26,B178321429701062G0,packed-needs-placement-review,,906,1740,embedded,installed
landsd/206587:0,206587,1757514294T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16925.14954,2205.157294,4.2,4.1,landsd,True,xs,XS,34,B175751429401062G0,packed-needs-placement-review,,996,2220,embedded,installed
landsd/206588:0,206588,1712214309T20050430,Pak Tai Temple,北帝宮,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17377.384622,2190.583708,9.1,6.8,landsd,True,xs,XS,44,B171221430901062G0,packed-needs-placement-review,,1214,3000,embedded,installed
